Deniz,Danyel,Robin,winner,starting_player,deniz_scores,danyel_scores,robin_scores
195,181,229,Robin,,,,
92,123,195,Robin,,,,
155,150,136,Deniz,,,,
127,67,195,Robin,,,,
146,208,165,Danyel,,,,
142,246,238,Danyel,,,,
222,159,133,Deniz,,,,
79,165,202,Robin,,,,
162,168,239,Robin,,,,
154,199,186,Danyel,,,,
196,229,87,Danyel,,,,
91,169,170,Robin,,,,
156,222,136,Danyel,,,,
137,202,120,Danyel,,,,
202,185,183,Deniz,,,,
153,164,143,Danyel,,,,
202,171,140,Deniz,,,,
108,139,196,Robin,,,,
127,150,170,Robin,,,,
164,117,186,Robin,,,,
217,147,78,Deniz,,,,
161,152,152,Deniz,,,,
185,164,207,Robin,,,,
171,132,246,Robin,,,,
179,184,94,Danyel,,,,
164,215,141,Danyel,,,,
105,136,193,Robin,,,,
91,174,204,Robin,,,,
151,188,191,Robin,,,,
142,267,132,Danyel,,,,
160,156,177,Robin,,,,
124,151,134,Danyel,,,,
176,174,179,Robin,,,,
111,229,105,Danyel,,,,
190,172,145,Deniz,,,,
102,139,139,Unentschieden,,,,
128,152,159,Robin,,,,
131,148,126,Danyel,,,,
165,213,123,Danyel,,,,
136,164,162,Danyel,,,,
175,159,96,Deniz,,,,
134,150,192,Robin,,,,
167,163,69,Deniz,,,,
154,137,142,Deniz,,,,
133,144,113,Danyel,,,,
183,178,149,Deniz,,,,
164,143,126,Deniz,,,,
163,140,176,Robin,,,,
159,207,140,Danyel,,,,
173,128,163,Deniz,,,,
129,158,150,Danyel,,,,
158,219,156,Danyel,,,,
130,121,206,Robin,,,,
168,190,127,Danyel,,,,
157,162,123,Danyel,,,,
135,143,164,Robin,,,,
237,104,132,Deniz,,,,
176,140,213,Robin,,,,
159,181,110,Danyel,,,,
213,192,148,Deniz,,,,
95,193,196,Robin,,,,
166,138,171,Robin,,,,
205,112,203,Deniz,,,,
195,150,132,Deniz,,,,
164,250,109,Danyel,,,,
143,157,117,Danyel,,,,
119,108,111,Deniz,,,,
109,75,96,Deniz,,,,
171,136,151,Deniz,,,,
135,174,167,Danyel,,,,
177,104,148,Deniz,,,,
128,205,133,Danyel,,,,
171,135,125,Deniz,,,,
187,126,120,Deniz,,,,
194,179,151,Deniz,,,,
163,144,187,Robin,,,,
140,173,160,Danyel,,,,
181,147,95,Deniz,,,,
205,215,260,Robin,,,,
155,156,157,Robin,,,,
169,129,213,Robin,,,,
166,126,134,Deniz,,,,
142,143,162,Robin,,,,
150,150,44,Unentschieden,,,,
143,150,183,Robin,,,,
225,201,181,Deniz,,,,
140,163,93,Danyel,,,,
137,176,130,Danyel,,,,
167,151,129,Deniz,,,,
164,96,209,Robin,,,,
81,130,256,Robin,,,,
147,190,183,Danyel,,,,
135,195,196,Robin,,,,
206,186,188,Deniz,,,,
162,152,170,Robin,,,,
226,143,231,Robin,,,,
178,190,174,Danyel,Danyel,,,
138,165,157,Danyel,Danyel,,,
195,224,239,Robin,Danyel,,,
175,179,201,Robin,Danyel,,,
107,170,138,Danyel,Danyel,,,
142,162,178,Robin,Danyel,,,
92,143,222,Robin,Deniz,[0 10 30 46 52 55 77 92],[0 11 39 65 87 107 127 143],[0 35 73 123 146 161 197 222]
92,143,222,Robin,Deniz,[0 6 12 19 24],[0 2 6 14 21],[0 0 11 13 17]
166,185,136,Danyel,Robin,,,
236,157,158,Deniz,Danyel,,,
129,219,182,Danyel,Robin,,,
214,192,152,Deniz,Robin,,,
154,203,224,Robin,Robin,,,
194,209,144,Danyel,Deniz,,,
166,140,203,Robin,Deniz,,,
204,180,208,Robin,Danyel,,,
